date,title,link,department
2022/01/27,111年第23屆文化部選送文化相關人才出國駐村交流計畫-美國18街藝術中心獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC5C8H9mC9Vyg8Juq+AZBErmxVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/26,111年度「扶植青年藝術發展補助計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC7FmL7iVL5L1UMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/26,文化部111年度「漫畫創作及出版行銷獎勵要點」獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2ExiIiZgLLE5C8H9mC9VygU4gEFNUeFMixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2022/01/25,文化部111年度「補助藝術村營運扶植計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO2ExiIiZgLLExsP+IrNWUhI3btcjCX4x9+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/21,文化部111年度「視覺藝術類補助作業要點」獲補助名單公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC1QPcxc37L4Hrn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/20,第五屆臺灣青年陶藝獎,AwardPublish.jsp?__viewstate=KSQNMhhcbO1wFizIWpX53KP+jL3XHwwOmdNC0Pv85r6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,國立臺灣工藝研究發展中心
2022/01/19,111年度文化部青年創作獲獎勵名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGH6P+jL3XHwwOiWi8pTbkCD2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2022/01/17,111年第23屆文化部選送文化相關人才出國駐村交流計畫-德國貝塔藝術村獲選名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO18xpIzJL6GC0XP+dI7Y3W6rn/dtTH8m/ixVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/11,111年度「文化部臺灣品牌團隊計畫」補助名單,AwardPublish.jsp?__viewstate=KSQNMhhcbO0olQXOoGDGHxRacTArXVS8LlbxRcODRT6xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-藝術發展司
2022/01/10,文化部110年第二期翻譯出版獎勵計畫獲獎名單/ Announcement of GPT 2021 (the 2nd Round),AwardPublish.jsp?__viewstate=KSQNMhhcbO1yJyDxxmxR87ztz4CIvo3oUMBObvquLy2xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-人文及出版司
2022/01/10,文化部111年度時尚跨界活動補助案第一梯次審查結果公告,AwardPublish.jsp?__viewstate=KSQNMhhcbO3G8IvssNAMQAl2j2kzTosxeleDisGKEM+xVtWuyGKjeUwfVEptyrGBLgdL2bN3txI=,文化部-文創發展司
