id,value
光點吉樹有限公司,4200000
新北市立淡水古蹟博物館,4200000
偶數創意工作室,4200000
多利曼股份有限公司,4175000
中平路故事館,4160000
海端鄉布農族文化館,4150000
臺南市美術館,4140000
國立屏東大學,4100000
財團法人台北市文化基金會,4100000
順益台灣原住民博物館,4030000
飛銳奇創意影音娛樂股份有限公司,4000000
嘉義縣文化觀光局,4000000
皮諾丘電影事業有限公司,4000000
國賓影城股份有限公司八德分公司,4000000
澎湖縣文化局,4000000
永安藝文館,4000000
麵包情人電影有限公司,4000000
桃園市政府文化局,4000000
鈊象電子股份有限公司,4000000
再現影像製作有限公司,4000000
英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,3999974
美食加股份有限公司,3995460
蒂摩爾古薪舞集,3968548
全國關懷科技協會,3900917
中華民國廣播電視節目製作商業同業公會,3900000
湯與海音樂有限公司,3875000
財團法人吳三連台灣史料基金會,3867000
朴通！好戲登場,3825000
國立暨南國際大學,3810000
利澤國際文化有限公司,3800000
桃園忠烈祠暨神社文化園區,3800000
連江縣政府,3750000
基隆市政府,3740000
綠野仙蹤電影特效有限公司,3715000
海樂影業股份有限公司,3707968
屏東文學館,3700000
新竹縣政府文化局,3690000
亞洲衛星電視股份有限公司,3650000
風車圖書出版有限公司,3627000
東隆宮文化中心,3625000
南投縣文化局,3600000
昌黎殿,3600000
紅花鐵馬映像所有限公司,3600000
台灣碗盤博物館,3600000
我們工作室有限公司,3600000
街聲股份有限公司,3600000
犢影制作電影有限公司 ,3599983
鍾理和紀念館,3530000
牡蠣音樂有限公司,3500000
大地風有限公司,3500000
財團法人臺灣設計研究院,3500000
動脈音樂文化傳播有限公司,3500000
郭常喜兵器藝術文物館,3500000
超展開音樂股份有限公司,3500000
財團法人陳澄波文化基金會,3500000
新港香藝文化館,3480000
澎湖海洋資源館,3460000
許世賢博士紀念館,3450000
大禾音樂製作有限公司,3450000
輔仁大學,3450000
嘉義市史蹟資料館,3450000
三十而立有限公司,3450000
台灣戲劇館,3410000
山畝音樂文化工作室,3400000
蘆洲李宅,3400000
火玄火包股份有限公司,3400000
臺中市中正紀念館,3400000
財團法人台灣文學發展基金會,3370000
集集地方文化館,3360000
國立彰化師範大學,3360000
苗栗縣政府文化觀光局,3320000
下港男兒工作室,3305687
錚李服裝設計有限公司,3301750
大吉祥整合行銷有限公司,3300000
黑馬映像電影有限公司,3300000
詔安客家文化館,3300000
黑糖媒體創意有限公司,3300000
財團法人水源地文教基金會,3290000
卡達德邦文化工作室,3280000
社團法人台北市視障者家長協會,3260000
新港文化館‧25號倉庫,3250000
史多禮股份有限公司,3226000
大抓周計畫教育協會,3200000
財團法人中華民俗藝術基金會,3200000
社團法人台灣歷史資源經理學會,3200000
花蓮縣台灣原住民族文物館,3200000
財團法人中央通訊社,3200000
大溥影音製作有限公司,3200000
台北市電影戲劇業職業工會,3200000
蔚藍體驗工作室,3200000
黑蝙蝠中隊文物陳列館,3200000
宜蘭縣大同鄉泰雅生活館,3200000
夏日紀事音像文化有限公司,3200000
白米木屐館,3200000
希格整合行銷有限公司,3181400
想映電影有限公司,3180000
沸騰了映像有限公司,3170000
嚴選娛樂電影製作有限公司,3150000
山下民謠有限公司,3125000
瑞而思動畫有限公司,3116400
吳蓓雅工作室有限公司,3106000
新竹市影像博物館,3100000
大賞門文化傳播有限公司,3100000
廠廠創意股份有限公司,3100000
洗耳恭聽股份有限公司,3070600
角川國際動漫股份有限公司,3050000
大大樹音樂圖像有限公司,3050000
四方文創股份有限公司,3050000
宏達數位影業有限公司,3040000
事事設計有限公司,3030000
國立雲林科技大學,3020000
煙囪文化創意有限公司,3010000
利達數位影音科技股份有限公司,3010000
老湖口天主堂,3000000
金門縣文化園區金門歷史民俗博物館,3000000
110年新竹市「風livehouse」影視音體驗計畫,3000000
物子巡演工作室,3000000
伯樂影業股份有限公司,3000000
黃明川電影視訊有限公司,3000000
吉人影像有限公司,3000000
社團法人台灣現代建築學會,3000000
鳳儀書院,3000000
南瓜電影有限公司,3000000
旋轉犀牛原創設計工作室,3000000
河岸留言音樂咖啡屋,3000000
狠劇場,3000000
狠主流多媒體有限公司,3000000
路野生態影像有限公司,3000000
沾沾喜氣文化有限公司,3000000
波乘有限公司,3000000
新禧未來音樂股份有限公司,3000000
一晌電影有限公司,2999994
桃園孔廟,2993000
蜂鳥影像有限公司,2980000
雄本老屋規劃有限公司,2980000
無米樂影像工作室有限公司,2954700
目宿媒體股份有限公司,2950000
大苑藝術會展有限公司,2950000
臺中市美術家資料館,2950000
社團法人台灣新移民協會,2940000
鏡象電影製作有限公司,2915000
遠足文化事業股份有限公司,2900000
